audio_path,transcription
audio_files\Train_Seg0013.wav,Lim Chu Kang is a scary place. Many cemeteries in Lim Chu Kang. But Lim Chu Kang has a lot of farms also. There is a big fish farm in Lim Chu Kang. Have you been to Lim Chu Kang?
audio_files\Train_Seg0014.wav,"Neo Tiew has a lot of farms. I used to have a farm in Neo Tiew. But without a vehicle, it's hard to go to Neo Tiew. Because Neo Tiew is very deep in. Let's not go to Neo Tiew!"
audio_files\Train_Seg0015.wav,Mandai has the zoo. A lot of animals in Mandai. There is also Mandai reservoir. People who like wildlife goes to Mandai. Do you want to go to Mandai?
audio_files\Train_Seg0016.wav,Novena has some offices. But there are bars in Novena too. My friend has a bar in Novena. Also Novena has some shopping centres. Do you want to go to Novena?
audio_files\Train_Seg0017.wav,Pasir Ris is at the East corner of Singapore. Pasir Ris is super far. But last time I go to Pasir Ris often. Because basic military training is in Pasir Ris. Don't go to Pasir Ris!
audio_files\Train_Seg0018.wav,"Paya Lebar is a busy place. Many offices in Paya Lebar. But because of that, Paya Lebar has a lot of pubs too. Sometimes I go to Paya Lebar. Let's go to Paya Lebar!"
audio_files\Train_Seg0019.wav,Pioneer is in the West of Singapore. Many industrial buildings in Pioneer. But Pioneer also has houses. I have friends staying in Pioneer. Have you been to Pioneer?
audio_files\Train_Seg0020.wav,Punggol has a lot of houses. Many friends stay in Punggol. The people in Punggol are young. Because Punggol is new. Do you stay in Punggol?
audio_files\Train_Seg0021.wav,Rochor is in Central Singapore. A lot of good food in Rochor. There are also buses in Rochor going to Malaysia. I go to Rochor often. Have you been to Rochor?
audio_files\Train_Seg0022.wav,Seletar has a temple. I go to Seletar a few times. Seletar also has an airport. And many pubs in Seletar are quite cool. Let's go to Seletar!
audio_files\Train_Seg0023.wav,Sembawang is in the North of Singapore. My friend stays in Sembawang. My friend in Sembawang is a good programmer. But there is nothing in Sembawang. Don't go to Sembawang!
audio_files\Train_Seg0024.wav,Sengkang is also quite new. Many new houses in Sengkang. A lot of Sengkang residences are young. No food in Sengkang though. Have you been to Sengkang?
audio_files\Train_Seg0025.wav,"A lot of friends stays in Serangoon. My friend opened a pub in Serangoon too. Serangoon is quite a cool place, many pubs in Serangoon. Let's go to Serangoon!"
audio_files\Train_Seg0026.wav,Simpang is literally a junction. But there is Simpang Bedok. A district is also called Simpang. A lot of food in Simpang. Have you been to Simpang?
audio_files\Train_Seg0027.wav,Sungei Kadut has some rivers. The rivers in Sungei Kadut links to the sea. So many farms are in Sungei Kadut too. Sometimes I go to Sungei Kadut to fish. Let's go to Sungei Kadut!
audio_files\Train_Seg0028.wav,"Telok Blangah is a housing estate. There is good food in Telok Blangah. Telok Blangah has a big hawker centre. Location-wise, Telok Blangah is in the South of Singapore. Do you want to go to Telok Blangah?"
audio_files\Train_Seg0029.wav,Tampines is in the East of Singapore. There are only houses in Tampines. Nothing else in Tampines. But Tampines has some good food. Have you been to Tampines?
audio_files\Train_Seg0030.wav,"Tanglin is in the town area. Very expensive houses are in Tanglin. There are also shopping centres in Tanglin. In Tanglin, there are also pubs. Have you been to Tanglin?"
audio_files\Train_Seg0031.wav,"Tengah is a new region in Singapore. Many houses are being built in Tengah. For residences in Tengah, there are many good food. There will also be business centres in Tengah. Let's go to Tengah!"
audio_files\Train_Seg0032.wav,Toa Payoh is where my friend stays. Toa Payoh is an old estate. But the rental in Toa Payoh is expensive. Because Toa Payoh is near town. Let's go to Toa Payoh!
audio_files\Train_Seg0033.wav,Joo Koon is near Tuas. A lot of workers stay in Joo Koon. The people in Joo Koon works in manufacturing. There is also a train station in Joo Koon. Have you been to Joo Koon?
audio_files\Train_Seg0034.wav,Tuas is the west most place in Singapore. Many factories are in Tuas. So there are a lot of foreigners in Tuas. The workers in Tuas also stay there. Nothing to do in Tuas though.
audio_files\Train_Seg0035.wav,Woodlands has a lot of factories. And Woodlands is near Malaysia. So Woodlands always has traffic congestions. Do not go to Woodlands. Have you been to Woodlands?
audio_files\Train_Seg0036.wav,"Yishun is a dangerous place. Crazy people live in Yishun. In Yishun, there are many dangerous incidents. Yishun always comes out in the news. Don't go to Yishun!"
audio_files\Train_Seg0037.wav,"I have a lot of friends staying in Ang Mo Kio. From my house, Ang Mo Kio is a little far. A smart friend of mine has a PhD and stays in Ang Mo Kio. Maybe I should move to Ang Mo Kio. Let's go to Ang Mo Kio!"
audio_files\Train_Seg0038.wav,Geylang is a food district in Singapore. There is a lot of good food in Geylang. Many people go to Geylang for good food. But got other things in Geylang also. Let's go to Geylang!
audio_files\Train_Seg0039.wav,My aunt stays in Bedok. There are good food in Bedok too. But then Bedok is very far. 45 minutes to go to Bedok. Don't want to go Bedok.
audio_files\Train_Seg0040.wav,There is also a gym in Bishan. The houses in Bishan very expensive. Bishan people very rich. I wish I stay in Bishan. Let's go to Bishan!
audio_files\Train_Seg0041.wav,Boon Lay is at the far corner of Singapore. Nothing there in Boon Lay. But some friends stay in Boon Lay. But I never want to go to Boon Lay. Because Boon Lay is very far!
audio_files\Train_Seg0042.wav,Bukit Merah is at the south of Singapore. Many foodcourts in Bukit Merah. A little far to go to Bukit Merah. But my good friend stays in Bukit Merah. Let's go to Bukit Merah!
audio_files\Train_Seg0043.wav,Bukit Panjang is my hometown. I live in Bukit Panjang. Bukit Panjang is in the West of Singapore. A lot of friends stay in Bukit Panjang. Let's go home to Bukit Panjang!
audio_files\Train_Seg0044.wav,Bukit Timah is where all the rich people live. All the houses in Bukit Timah are very expensive. Bukit Timah got a big hill. Highest point in Singapore is in Bukit Timah. Want to go Bukit Timah?
audio_files\Train_Seg0045.wav,Choa Chu Kang is where I used to work at. Last time everyday I go to Choa Chu Kang. There is Choa Chu Kang train and bus interchange. A lot of good food in Choa Chu Kang also. Want to go Choa Chu Kang?
audio_files\Train_Seg0046.wav,Hougang is also a faraway place. Only have some food in Hougang. There is a Hougang Shopping Centre. But Hougang is very dead. You want to go Hougang?
audio_files\Train_Seg0047.wav,Jurong got East and West. Almost need passport to go Jurong. But Jurong is very big. My office is in Jurong. Let's go Jurong!
audio_files\Train_Seg0048.wav,Kallang is a place i go to frequently. A lot of sports played in Kallang. The national stadium is also in Kallang. But Kallang has a lot of Thai pubs. I go to Kallang for that!
audio_files\Train_Seg0049.wav,Lim Chu Kang is a scary place. Many cemeteries in Lim Chu Kang. But Lim Chu Kang has a lot of farms also. There is a big fish farm in Lim Chu Kang. Have you been to Lim Chu Kang?
audio_files\Train_Seg0050.wav,"Neo Tiew has a lot of farms. I used to have a farm in Neo Tiew. But without a vehicle, it's hard to go to Neo Tiew. Because Neo Tiew is very deep in. Let's not go to Neo Tiew!"
audio_files\Train_Seg0051.wav,Mandai has the zoo. A lot of animals in Mandai. There is also Mandai reservoir. People who like wildlife goes to Mandai. Do you want to go to Mandai?
audio_files\Train_Seg0052.wav,Novena has some offices. But there are bars in Novena too. My friend has a bar in Novena. Also Novena has some shopping centres. Do you want to go to Novena?
audio_files\Train_Seg0053.wav,Pasir Ris is at the East corner of Singapore. Pasir Ris is super far. But last time I go to Pasir Ris often. Because basic military training is in Pasir Ris. Don't go to Pasir Ris!
audio_files\Train_Seg0054.wav,"Paya Lebar is a busy place. Many offices in Paya Lebar. But because of that, Paya Lebar has a lot of pubs too. Sometimes I go to Paya Lebar. Let's go to Paya Lebar!"
audio_files\Train_Seg0055.wav,Pioneer is in the West of Singapore. Many industrial buildings in Pioneer. But Pioneer also has houses. I have friends staying in Pioneer. Have you been to Pioneer?
audio_files\Train_Seg0056.wav,Punggol has a lot of houses. Many friends stay in Punggol. The people in Punggol are young. Because Punggol is new. Do you stay in Punggol?
audio_files\Train_Seg0057.wav,Rochor is in Central Singapore. A lot of good food in Rochor. There are also buses in Rochor going to Malaysia. I go to Rochor often. Have you been to Rochor?
audio_files\Train_Seg0058.wav,Seletar has a temple. I go to Seletar a few times. Seletar also has an airport. And many pubs in Seletar are quite cool. Let's go to Seletar!
audio_files\Train_Seg0059.wav,Sembawang is in the North of Singapore. My friend stays in Sembawang. My friend in Sembawang is a good programmer. But there is nothing in Sembawang. Don't go to Sembawang!
audio_files\Train_Seg0060.wav,Sengkang is also quite new. Many new houses in Sengkang. A lot of Sengkang residences are young. No food in Sengkang though. Have you been to Sengkang?
audio_files\Train_Seg0061.wav,"A lot of friends stays in Serangoon. My friend opened a pub in Serangoon too. Serangoon is quite a cool place, many pubs in Serangoon. Let's go to Serangoon!"
audio_files\Train_Seg0062.wav,Simpang is literally a junction. But there is Simpang Bedok. A district is also called Simpang. A lot of food in Simpang. Have you been to Simpang?
audio_files\Train_Seg0063.wav,Sungei Kadut has some rivers. The rivers in Sungei Kadut links to the sea. So many farms are in Sungei Kadut too. Sometimes I go to Sungei Kadut to fish. Let's go to Sungei Kadut!
audio_files\Train_Seg0064.wav,"Telok Blangah is a housing estate. There is good food in Telok Blangah. Telok Blangah has a big hawker centre. Location-wise, Telok Blangah is in the South of Singapore. Do you want to go to Telok Blangah?"
audio_files\Train_Seg0065.wav,Tampines is in the East of Singapore. There are only houses in Tampines. Nothing else in Tampines. But Tampines has some good food. Have you been to Tampines?
audio_files\Train_Seg0066.wav,"Tanglin is in the town area. Very expensive houses are in Tanglin. There are also shopping centres in Tanglin. In Tanglin, there are also pubs. Have you been to Tanglin?"
audio_files\Train_Seg0067.wav,"Tengah is a new region in Singapore. Many houses are being built in Tengah. For residences in Tengah, there are many good food. There will also be business centres in Tengah. Let's go to Tengah!"
audio_files\Train_Seg0068.wav,Toa Payoh is where my friend stays. Toa Payoh is an old estate. But the rental in Toa Payoh is expensive. Because Toa Payoh is near town. Let's go to Toa Payoh!
audio_files\Train_Seg0069.wav,Joo Koon is near Tuas. A lot of workers stay in Joo Koon. The people in Joo Koon works in manufacturing. There is also a train station in Joo Koon. Have you been to Joo Koon?
audio_files\Train_Seg0070.wav,Tuas is the west most place in Singapore. Many factories are in Tuas. So there are a lot of foreigners in Tuas. The workers in Tuas also stay there. Nothing to do in Tuas though.
audio_files\Train_Seg0071.wav,Woodlands has a lot of factories. And Woodlands is near Malaysia. So Woodlands always has traffic congestions. Do not go to Woodlands. Have you been to Woodlands?
audio_files\Train_Seg0072.wav,"Yishun is a dangerous place. Crazy people live in Yishun. In Yishun, there are many dangerous incidents. Yishun always comes out in the news. Don't go to Yishun!"
audio_files\Train_Seg0073.wav,"I have a lot of friends staying in Ang Mo Kio. From my house, Ang Mo Kio is a little far. A smart friend of mine has a PhD and stays in Ang Mo Kio. Maybe I should move to Ang Mo Kio. Let's go to Ang Mo Kio!"
audio_files\Train_Seg0074.wav,Geylang is a food district in Singapore. There is a lot of good food in Geylang. Many people go to Geylang for good food. But got other things in Geylang also. Let's go to Geylang!
audio_files\Train_Seg0075.wav,My aunt stays in Bedok. There are good food in Bedok too. But then Bedok is very far. 45 minutes to go to Bedok. Don't want to go Bedok.
audio_files\Train_Seg0076.wav,There is also a gym in Bishan. The houses in Bishan very expensive. Bishan people very rich. I wish I stay in Bishan. Let's go to Bishan!
audio_files\Train_Seg0077.wav,Boon Lay is at the corner of Singapore. Nothing there in Boon Lay. But some friends stay in Boon Lay. I never want to go to Boon Lay. Because Boon Lay is very far!
audio_files\Train_Seg0078.wav,I used to stay in Bukit Batok. I like Bukit Batok. My primary school is in Bukit Batok. But now I hardly go to Bukit Batok. Let's go to Bukit Batok!
audio_files\Train_Seg0079.wav,Bukit Merah is at the south of Singapore. Many foodcourts in Bukit Merah. A little far to go to Bukit Merah. But my good friend stays in Bukit Merah. Let's go to Bukit Merah!
audio_files\Train_Seg0080.wav,Sentosa is an island in Singapore. Sentosa is always also known as Singapore's Fantasy Island. A lot of tourists go to Sentosa. But everything in Sentosa is expensive. But got clubs in Sentosa!
audio_files\Train_Seg0081.wav,Bukit Panjang is my hometown. I live in Bukit Panjang. Bukit Panjang is in the West of Singapore. A lot of friends stay in Bukit Panjang. Let's go to Bukit Panjang!
audio_files\Train_Seg0082.wav,Bukit Timah is where all the rich people live. All the houses in Bukit Timah are very expensive. Bukit Timah got a big hill. Highest point in Singapore is in Bukit Timah. Want to go Bukit Timah?
audio_files\Train_Seg0083.wav,Changi is where the airport is. My house very far from Changi. But I like Changi because it means I will go holiday. Best place in Singapore is Changi. Let's go Changi!
audio_files\Train_Seg0084.wav,Choa Chu Kang is where I used to work at. Last time everyday I go to Choa Chu Kang. There is Choa Chu Kang train and bus interchange. A lot of good food in Choa Chu Kang also. Want to go Choa Chu Kang?
audio_files\Train_Seg0085.wav,Clementi got a lot of massage shops. My friend has a shop in Clementi. The bakery is in Clementi. My office also is in Clementi. Want to go Clementi?
audio_files\Train_Seg0086.wav,Hougang is also a faraway place. Only have some food in Hougang. There is a Hougang Shopping Centre. But Hougang is very dead. You want to go Hougang?
audio_files\Train_Seg0087.wav,Jurong got East and West. Almost need passport to go to Jurong. But Jurong is very big. My office is in Jurong. Let's go to Jurong!
audio_files\Train_Seg0088.wav,Kallang is a place i go to frequently. A lot of sports played in Kallang. The national stadium is also in Kallang. But Kallang also has a lot of Thai pubs. I go to Kallang for that!
audio_files\Train_Seg0089.wav,Lim Chu Kang is a very scary place. Many cemeteries in Lim Chu Kang. But Lim Chu Kang has a lot of farms also. There's a big fish farm in Lim Chu Kang. Have you been to Lim Chu Kang?
audio_files\Train_Seg0090.wav,Kranji is where my buses park. There is a bus depot in Kranji. There is also Kranji reservoir. People fish in Kranji. Can we go to Kranji?
audio_files\Train_Seg0091.wav,"A farm in Neo Tiew. But without a vehicle, it's hard to go to Neo Tiew. Because Neo Tiew is very deep in. Let's not go to Neo Tiew!"
audio_files\Train_Seg0092.wav,Mandai has the zoo. A lot of animals in Mandai. There is also Mandai reservoir. People who like wildlife goes to Mandai. Do you want to go to Mandai?
audio_files\Train_Seg0093.wav,Novena has some offices. But there are bars in Novena too. My friend has a bar in Novena. Also Novena has some shopping centres. Do you want to go to Novena?
audio_files\Train_Seg0094.wav,Outram is where a big hospital is. There is also a train station in Outram. But nothing interesting in Outram though. Just medical people go to Outram. Have you been to Outram?
audio_files\Train_Seg0095.wav,Pasir Ris is at the East corner of Singapore. Pasir Ris is super far. But last time I go to Pasir Ris often. Because basic military training is in Pasir Ris. Don't go to Pasir Ris.
audio_files\Train_Seg0096.wav,"Paya Lebar is a busy place. Many offices in Paya Lebar. But because of that, Paya Lebar has a lot of pubs too. Sometimes I go to Paya Lebar. Let's go to Paya Lebar!"
audio_files\Train_Seg0097.wav,Pioneer is the West of Singapore. Many industrial buildings in Pioneer. Pioneer also has houses. I have friends staying in Pioneer. Have you been to Pioneer?
audio_files\Train_Seg0098.wav,Punggol has a lot of houses. Many friends stay in Punggol. The people in Punggol are young. Because Punggol is new. Do you stay in Punggol?
audio_files\Train_Seg0099.wav,Rochor is in Central Singapore. A lot of good food in Rochor. There are also buses in Rochor going to Malaysia. I go to Rochor often. Have you been to Rochor?
audio_files\Train_Seg0100.wav,Seletar has a temple. I go to Seletar a few times. Seletar also has an airport. And many pubs in Seletar are quite cool. Let's go to Seletar!
audio_files\Train_Seg0101.wav,Sembawang is in the North of Singapore. My friend stays in Sembawang. My friend in Sembawang is a good programmer. But there is nothing in Sembawang. Don't go to Sembawang!
audio_files\Train_Seg0102.wav,Sengkang is also quite new. Many new houses in Sengkang. A lot of Sengkang residents are young. No food in Sengkang though. Have you been to Sengkang?
audio_files\Train_Seg0103.wav,A lot of friends stay in Serangoon. My friend opened a pub in Serangoon too. Serangoon is quite a cool place. Let's go to Serangoon!
audio_files\Train_Seg0104.wav,Simpang is literally a junction. But there is Simpang Bedok. A district is also called Simpang. A lot of food in Simpang. Have you been to Simpang?
audio_files\Train_Seg0105.wav,"Sungei Kadut has some rivers, the rivers in Sungei Kadut links to the sea. So many farms are in Sungei Kadut too. Sometimes I go to Sungei Kadut to fish. Let's go to Sungei Kadut!"
audio_files\Train_Seg0106.wav,"Telok Blangah is a housing estate. There is good food in Telok Blangah. Telok Blangah has a good hawker centre. Location-wise, Telok Blangah is in the South of Singapore. Do you want to go to Telok Blangah?"
audio_files\Train_Seg0107.wav,Tampines is in the East of Singapore. Only houses in Tampines. Nothing else in Tampines. But Tampines has some good food. Have you been to Tampines before?
audio_files\Train_Seg0108.wav,"Tanglin is in the town area. Very expensive houses are in Tanglin. There are also shopping centres in Tanglin. In Tanglin, there are also pubs. Have you been to Tanglin?"
audio_files\Train_Seg0109.wav,"Tengah is a new region in Singapore. Many houses are being built in Tengah. For residents in Tengah, there are very good food. There will also be business centres in Tengah. Let's go to Tengah!"
audio_files\Train_Seg0110.wav,Toa Payoh is where my friend stays. Toa Payoh is an old estate. But the rental in Toa Payoh is expensive. Because Toa Payoh is near town. Let's go to Toa Payoh!
audio_files\Train_Seg0111.wav,Joo Koon is near Tuas. A lot of workers stay in Joo Koon. The people in Joo Koon works in manufacturing. There is also a train station in Joo Koon. Have you been to Joo Koon?
audio_files\Train_Seg0112.wav,Tuas is the west most place in Singapore. Many factories are in Tuas. So there are a lot of foreigners in Tuas. The workers in Tuas also stay there. Nothing to do in Tuas though.
audio_files\Train_Seg0113.wav,Woodlands has a lot of factories. And Woodlands is near Malaysia. So Woodlands always has traffic congestions. Do not go to Woodlands. Have you been to Woodlands?
audio_files\Train_Seg0114.wav,"Yishun is a very dangerous place. Crazy live in Yishun. In Yishun, there are many dangerous incidents. Yishun always comes out in the news. Don't go to Yishun."
audio_files\Train_Seg0115.wav,"I have a lot of friends staying in Ang Mo Kio. From my house, Ang Mo Kio is a little far. A smart friend of mine has a PhD and stays in Ang Mo Kio. Maybe I should move to Ang Mo Kio. Let's go to Ang Mo Kio!"
audio_files\Train_Seg0116.wav,Geylang is a food district in Singapore. There is a lot of good food in Geylang. Many people go to Geylang for good food. But got other things in Geylang also. Let's go to Geylang!
audio_files\Train_Seg0117.wav,My aunt stays in Bedok. There are good food in Bedok too. But then Bedok is very far. 45 minutes to go to Bedok. Don't want to go Bedok.
audio_files\Train_Seg0118.wav,There is also a gym in Bishan. The houses in Bishan very expensive. Bishan people very rich. I wish I stay in Bishan. Let's go to Bishan!
audio_files\Train_Seg0119.wav,Boon Lay is at the corner of Singapore. Nothing there in Boon Lay. But some friends stay in Boon Lay. I never want to go to Boon Lay. Because Boon Lay is very far!
audio_files\Train_Seg0120.wav,I used to stay in Bukit Batok. I like Bukit Batok. My primary school is in Bukit Batok. But now I hardly go to Bukit Batok. Let's go to Bukit Batok!
audio_files\Train_Seg0121.wav,Bukit Merah is at the south of Singapore. Many foodcourts in Bukit Merah. A little far to go to Bukit Merah. But my good friend stays in Bukit Merah. Let's go to Bukit Merah!
audio_files\Train_Seg0122.wav,Sentosa is an island in Singapore. Sentosa is always also known as Singapore's Fantasy Island. A lot of tourists go to Sentosa. But everything in Sentosa is expensive. But got clubs in Sentosa!
audio_files\Train_Seg0123.wav,Bukit Panjang is my hometown. I live in Bukit Panjang. Bukit Panjang is in the West of Singapore. A lot of friends stay in Bukit Panjang. Let's go to Bukit Panjang!
audio_files\Train_Seg0124.wav,Bukit Timah is where all the rich people live. All the houses in Bukit Timah are very expensive. Bukit Timah got a big hill. Highest point in Singapore is in Bukit Timah. Want to go Bukit Timah?
audio_files\Train_Seg0125.wav,Changi is where the airport is. My house very far from Changi. But I like Changi because it means I will go holiday. Best place in Singapore is Changi. Let's go Changi!
audio_files\Train_Seg0126.wav,Choa Chu Kang is where I used to work at. Last time everyday I go to Choa Chu Kang. There is Choa Chu Kang train and bus interchange. A lot of good food in Choa Chu Kang also. Want to go Choa Chu Kang?
audio_files\Train_Seg0127.wav,Clementi got a lot of massage shops. My friend has a shop in Clementi. The bakery is in Clementi. My office also is in Clementi. Want to go Clementi?
audio_files\Train_Seg0128.wav,Hougang is also a faraway place. Only have some food in Hougang. There is a Hougang Shopping Centre. But Hougang is very dead. You want to go Hougang?
audio_files\Train_Seg0129.wav,Jurong got East and West. Almost need passport to go to Jurong. But Jurong is very big. My office is in Jurong. Let's go to Jurong!
audio_files\Train_Seg0130.wav,Kallang is a place i go to frequently. A lot of sports played in Kallang. The national stadium is also in Kallang. But Kallang also has a lot of Thai pubs. I go to Kallang for that!
audio_files\Train_Seg0131.wav,Lim Chu Kang is a very scary place. Many cemeteries in Lim Chu Kang. But Lim Chu Kang has a lot of farms also. There's a big fish farm in Lim Chu Kang. Have you been to Lim Chu Kang?
audio_files\Train_Seg0132.wav,Kranji is where my buses park. There is a bus depot in Kranji. There is also Kranji reservoir. People fish in Kranji. Can we go to Kranji?
audio_files\Train_Seg0133.wav,"A farm in Neo Tiew. But without a vehicle, it's hard to go to Neo Tiew. Because Neo Tiew is very deep in. Let's not go to Neo Tiew!"
audio_files\Train_Seg0134.wav,Mandai has the zoo. A lot of animals in Mandai. There is also Mandai reservoir. People who like wildlife goes to Mandai. Do you want to go to Mandai?
audio_files\Train_Seg0135.wav,Novena has some offices. But there are bars in Novena too. My friend has a bar in Novena. Also Novena has some shopping centres. Do you want to go to Novena?
audio_files\Train_Seg0136.wav,Outram is where a big hospital is. There is also a train station in Outram. But nothing interesting in Outram though. Just medical people go to Outram. Have you been to Outram?
audio_files\Train_Seg0137.wav,Pasir Ris is at the East corner of Singapore. Pasir Ris is super far. But last time I go to Pasir Ris often. Because basic military training is in Pasir Ris. Don't go to Pasir Ris.
audio_files\Train_Seg0138.wav,"Paya Lebar is a busy place. Many offices in Paya Lebar. But because of that, Paya Lebar has a lot of pubs too. Sometimes I go to Paya Lebar. Let's go to Paya Lebar!"
audio_files\Train_Seg0139.wav,Pioneer is the West of Singapore. Many industrial buildings in Pioneer. Pioneer also has houses. I have friends staying in Pioneer. Have you been to Pioneer?
audio_files\Train_Seg0140.wav,Punggol has a lot of houses. Many friends stay in Punggol. The people in Punggol are young. Because Punggol is new. Do you stay in Punggol?
audio_files\Train_Seg0141.wav,Rochor is in Central Singapore. A lot of good food in Rochor. There are also buses in Rochor going to Malaysia. I go to Rochor often. Have you been to Rochor?
audio_files\Train_Seg0142.wav,Seletar has a temple. I go to Seletar a few times. Seletar also has an airport. And many pubs in Seletar are quite cool. Let's go to Seletar!
audio_files\Train_Seg0143.wav,Sembawang is in the North of Singapore. My friend stays in Sembawang. My friend in Sembawang is a good programmer. But there is nothing in Sembawang. Don't go to Sembawang!
audio_files\Train_Seg0144.wav,Sengkang is also quite new. Many new houses in Sengkang. A lot of Sengkang residents are young. No food in Sengkang though. Have you been to Sengkang?
audio_files\Train_Seg0145.wav,A lot of friends stay in Serangoon. My friend opened a pub in Serangoon too. Serangoon is quite a cool place. Let's go to Serangoon!
audio_files\Train_Seg0146.wav,Simpang is literally a junction. But there is Simpang Bedok. A district is also called Simpang. A lot of food in Simpang. Have you been to Simpang?
audio_files\Train_Seg0147.wav,"Sungei Kadut has some rivers, the rivers in Sungei Kadut links to the sea. So many farms are in Sungei Kadut too. Sometimes I go to Sungei Kadut to fish. Let's go to Sungei Kadut!"
audio_files\Train_Seg0148.wav,"Telok Blangah is a housing estate. There is good food in Telok Blangah. Telok Blangah has a good hawker centre. Location-wise, Telok Blangah is in the South of Singapore. Do you want to go to Telok Blangah?"
audio_files\Train_Seg0149.wav,Tampines is in the East of Singapore. Only houses in Tampines. Nothing else in Tampines. But Tampines has some good food. Have you been to Tampines before?
audio_files\Train_Seg0150.wav,"Tanglin is in the town area. Very expensive houses are in Tanglin. There are also shopping centres in Tanglin. In Tanglin, there are also pubs. Have you been to Tanglin?"
audio_files\Train_Seg0151.wav,"Tengah is a new region in Singapore. Many houses are being built in Tengah. For residents in Tengah, there are very good food. There will also be business centres in Tengah. Let's go to Tengah!"
audio_files\Train_Seg0152.wav,Toa Payoh is where my friend stays. Toa Payoh is an old estate. But the rental in Toa Payoh is expensive. Because Toa Payoh is near town. Let's go to Toa Payoh!
audio_files\Train_Seg0153.wav,Joo Koon is near Tuas. A lot of workers stay in Joo Koon. The people in Joo Koon works in manufacturing. There is also a train station in Joo Koon. Have you been to Joo Koon?
audio_files\Train_Seg0154.wav,Tuas is the west most place in Singapore. Many factories are in Tuas. So there are a lot of foreigners in Tuas. The workers in Tuas also stay there. Nothing to do in Tuas though.
audio_files\Train_Seg0155.wav,Woodlands has a lot of factories. And Woodlands is near Malaysia. So Woodlands always has traffic congestions. Do not go to Woodlands. Have you been to Woodlands?
audio_files\Train_Seg0156.wav,"Yishun is a very dangerous place. Crazy live in Yishun. In Yishun, there are many dangerous incidents. Yishun always comes out in the news. Don't go to Yishun."
audio_files\Train_Seg0157.wav,"I have a lot of friends staying in Ang Mo Kio. From my house, Ang Mo Kio is a little far. A smart friend of mine has a PhD and stays in Ang Mo Kio. Maybe I should move to Ang Mo Kio. Let's go to Ang Mo Kio!"
audio_files\Train_Seg0158.wav,Geylang is a food district in Singapore. There is a lot of good food in Geylang. Many people go to Geylang for good food. But got other things in Geylang also. Let's go to Geylang!
audio_files\Train_Seg0159.wav,My aunt stays in Bedok. There are good food in Bedok too. But then Bedok is very far. 45 minutes to go to Bedok. Don't want to go Bedok.
audio_files\Train_Seg0160.wav,There is also a gym in Bishan. The houses in Bishan very expensive. Bishan people very rich. I wish I stay in Bishan. Let's go to Bishan!
audio_files\Train_Seg0161.wav,Boon Lay is at the corner of Singapore. Nothing there in Boon Lay. But some friends stay in Boon Lay. But I never want to go to Boon Lay because Boon Lay is very far!
audio_files\Train_Seg0162.wav,I used to stay in Bukit Batok. I like Bukit Batok. My primary school is in Bukit Batok. But now I hardly go to Bukit Batok. Let's go to Bukit Batok!
audio_files\Train_Seg0163.wav,Bukit Merah is at the south of Singapore. Many foodcourts in Bukit Merah. A little far to go to Bukit Merah. But my good friend stays in Bukit Merah. Let's go to Bukit Merah!
